citizen_id,cnic,full_name,email,phone,ward_no,address,password_hash,registered_at
1,352012867825,Baahir Ghannam,baahir.ghannam26@hotmail.com,03254744854,Ward-3,"House #45, Hayatabad, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-04-18 07:47:20
2,352018078673,Lutfi Majd Udeen,lutfi.majd udeen33@gmail.com,03154668136,Ward-4,"House #14, Dalazak Road, Nowshera",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-04-06 23:10:59
3,352014335942,Naadir Umaarah,naadir.umaarah734@outlook.com,03248536477,Ward-10,"House #389, Warsak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-02 00:07:57
4,352018090293,Uhban Liyaqat,uhban.liyaqat349@hotmail.com,03194612365,Ward-13,"House #48, Kohat Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-26 13:10:44
5,352012622631,Dameer Tafazal,dameer.tafazal368@hotmail.com,03485437923,Ward-13,"House #275, Peshawar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-19 11:27:50
6,352017350753,Chawish Raatib,chawish.raatib81@hotmail.com,03497067228,Ward-10,"House #24, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-28 12:09:57
7,352015855124,Babar Batool,babar.batool82@yahoo.com,03167377459,Ward-5,"House #84, Ring Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-22 18:20:12
8,352016960453,Luay Basaam,luay.basaam215@hotmail.com,03143871230,Ward-9,"House #237, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-01-26 08:46:51
9,352015528972,Ghulaam Wafeeq,ghulaam.wafeeq948@yahoo.com,03301938483,Ward-4,"House #206, Peshawar, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-13 23:31:33
10,352012110460,Ikrimah Ibraaheem,ikrimah.ibraaheem217@hotmail.com,03239375710,Ward-7,"House #136, Ring Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-25 05:26:56
11,352015137722,Aaban Batal,aaban.batal763@hotmail.com,03478187926,Ward-15,"House #186, Bara Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-25 04:13:03
12,352013320821,Tahoor Ejlaal,tahoor.ejlaal522@outlook.com,03151790481,Ward-14,"House #322, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-02 03:08:25
13,352018082668,Karaamat Zaheer,karaamat.zaheer611@gmail.com,03347402509,Ward-10,"House #129, Ring Road, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-04-03 20:26:20
14,352011192619,Taahir Ghauth,taahir.ghauth697@gmail.com,03445476583,Ward-13,"House #151, Kohat Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-16 20:18:21
15,352013653446,Baseer Gulshan,baseer.gulshan465@gmail.com,03269398441,Ward-13,"House #468, Saddar, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-12 07:49:14
16,352016007072,Aalam Aabid,aalam.aabid862@yahoo.com,03197273233,Ward-13,"House #489, Saddar, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-25 23:15:16
17,352011009594,Luqman Ghunayn,luqman.ghunayn614@hotmail.com,03411326765,Ward-2,"House #123, Kohat Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-09-23 11:54:06
18,352015041154,Zaafir Najeeb,zaafir.najeeb900@gmail.com,03159153566,Ward-14,"House #393, Hayatabad, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-19 20:10:22
19,352013154051,Madani Tafazal,madani.tafazal676@outlook.com,03453770370,Ward-5,"House #217, Dalazak Road, Nowshera",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-22 06:06:08
20,352014374754,Aadil Wafa,aadil.wafa731@hotmail.com,03357264956,Ward-8,"House #62, Dalazak Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-12-06 06:38:52
21,352014769795,Jahiz Liyaqat,jahiz.liyaqat66@hotmail.com,03114860684,Ward-10,"House #37, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-09-23 20:44:35
22,352014841005,Wahb Sabil,wahb.sabil70@gmail.com,03312188789,Ward-9,"House #343, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-08 12:23:27
23,352014594297,Iesa Aabid,iesa.aabid553@yahoo.com,03468930103,Ward-4,"House #98, Ring Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-07 15:10:48
24,352012626229,Sabeeh Layth,sabeeh.layth675@outlook.com,03328106470,Ward-7,"House #345, Ring Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-09 05:19:15
25,352012016911,Qay-yoom Kaamil,qay-yoom.kaamil413@hotmail.com,03165171761,Ward-4,"House #230, University Town, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-10-25 10:35:37
26,352018077999,Hazeem Ubaidah,hazeem.ubaidah188@hotmail.com,03395191056,Ward-14,"House #414, Hayatabad, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-04-02 17:24:13
27,352012642635,Tahawwur Saal,tahawwur.saal52@gmail.com,03154965789,Ward-3,"House #247, Charsadda Road, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2025-11-23 00:16:09
28,352017728339,Batool Raashid,batool.raashid925@gmail.com,03207358113,Ward-1,"House #475, Charsadda Road, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-02-24 16:59:07
29,352015785687,Kashan Jabr,kashan.jabr434@outlook.com,03194185957,Ward-5,"House #297, University Town, Peshawar",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-30 13:37:32
30,352012022698,Wafa Kaysan,wafa.kaysan766@hotmail.com,03131841248,Ward-10,"House #471, Ring Road, Mardan",9b8769a4a742959a2d0298c36fb70623f2dfacda8436237df08d8dfd5b37374c,2026-03-26 06:27:15
