staff_id,dept_id,full_name,email,password_hash,role,is_active,created_at
1,1,Kaleem Fazli,kaleem.fazli@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,admin,1,2025-09-16 07:38:24
2,2,Umaarah Taaj,umaarah.taaj@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,admin,1,2025-09-06 19:17:28
3,3,Qay-yoom Ubadah,qay-yoom.ubadah@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,admin,1,2025-09-27 00:19:36
4,4,Sad Huzaifa,sad.huzaifa@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,admin,1,2025-09-09 23:42:54
5,1,Ghannam Raaghib,ghannam.raaghib@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-10 07:09:41
6,2,Yasir Saburah,yasir.saburah@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-11 12:06:22
7,3,Rabb Kaysan,rabb.kaysan@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-24 12:07:56
8,4,Nadeem Kaamil,nadeem.kaamil@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-14 10:08:43
9,1,Basir Ubaadah,basir.ubaadah@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-29 14:55:06
10,2,Durab Vahar,durab.vahar@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-26 11:14:46
11,3,Quddoos Naeem,quddoos.naeem@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-29 23:18:41
12,4,Luqman Omeir,luqman.omeir@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-14 17:43:02
13,1,Aasif Tahaw-wur,aasif.tahaw-wur@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-05 21:07:17
14,2,Tahir Rabah,tahir.rabah@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-10 10:09:48
15,3,Ghawth Najeeb,ghawth.najeeb@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-15 09:09:07
16,4,Waahid Saajid,waahid.saajid@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-12 01:02:13
17,1,Yawer Liyaaqat,yawer.liyaaqat@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-18 12:27:24
18,2,Tajammul Ubaadah,tajammul.ubaadah@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-09 17:03:52
19,3,Naadir Taimur,naadir.taimur@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-15 16:10:02
20,4,Bambad Barr,bambad.barr@lgc.gov.pk,10176e7b7b24d317acfcf8d2064cfd2f24e154f7b5a96603077d5ef813d6a6b6,staff,1,2025-09-01 16:29:02
